Origin,AMS,ATL,BKK,BOM,CAN,CDG,CGK,CTU,DEL,DEN,GRU,HKG,HND,KUL,LAX,LHR,MNL,PEK,PVG,SIN
AMS,0.0,149482.15771,190450.35167,89757.0,2552.7948258,179444.55427,1161.5484574,42272.0,91847.359216,1315.2131655,47736.881799,202192.12627,131.19510059,91241.816167,101692.0,277285.43685,73382.701387,206660.0,170692.0,144559.3125
ATL,140723.17928,0.0,2856.0977569,1385.0726535,860.40136843,189861.80526,251.24917001,200.28816326,1397.961338,794270.02718,55088.559925,2245.8442383,37.346848292,631.66293219,656069.93028,171550.0,573.42601388,6488.6079945,2694.7683715,2662.2276108
BKK,195139.58441,3266.6359979,0.0,354599.0,522445.0,220838.96343,230269.0,42905.0,396046.44813,287.33344116,1112.9495842,447604.19251,821.04899913,312298.08501,65145.0,294171.37728,392220.01661,290003.0,352779.0,574536.3663
BOM,89757.0,1714.8477118,351024.0,0.0,6043.9916619,92799.0,449.73864326,3528.6006471,3415648.0,258.81286315,857.480225,271658.0,278.04044942,102930.0,2557.323893,256711.78775,5690.0194064,8124.3870643,6710.3836097,427128.52899
CAN,2764.5663217,943.00208845,491638.94046,4882.2027602,0.0,88436.0,99434.0,865435.0,41800.0,100.2292816,170.75057043,0.0,462.0870904,218576.6703,61028.0,2570.2898787,50302.0,1343158.9399,163628.0,289948.0
CDG,181990.1344,200136.0829,193728.65569,92850.0,88144.0,0.0,1117.0024221,1783.6566466,137856.0,1116.625354,49692.852269,144179.02108,55.534427413,83736.708562,255413.59693,311778.78554,2537.421071,287340.0,193404.4957,162439.52241
CGK,1186.7846372,282.89119547,230269.0,5578.6461916,99592.0,1416.9065901,0.0,9052.5233954,5423.9895638,1.1125321769,159.21793364,279656.02813,413.43444295,253377.10202,2315.6524767,1972.770016,48336.0,38052.0,37296.0,533552.10563
CTU,42272.0,256.33747895,42905.0,3528.6006471,865947.0,2579.7083717,9052.5233954,0.0,4251.7599428,1.5718032337,81.845500602,230530.0,830.77015316,79664.0,1438.7238994,2894.337231,5690.0194064,1889786.0,949444.0,65062.0
DEL,97984.410964,1881.7685985,433770.27954,3563367.0,41800.0,137856.0,1033.5339975,4249.9122403,0.0,520.99173668,1287.4000493,291645.0,683.03533867,107310.0,3584.1437529,281439.83916,5690.0194064,68330.0,104763.0,302395.0
DEN,1308.6365401,831240.82539,227.83223123,184.07739977,88.250520578,1100.6485264,0.0,1.388329075,323.89409442,0.0,230.1778944,301.50243597,0.0,59.183054921,505605.16069,96536.378562,103.94271092,1093.1918888,479.17081371,316.26920109
GRU,46477.209598,57847.629464,1140.8792173,788.44955985,194.36587136,54715.659514,150.7041086,72.112709348,1034.7153787,297.57661621,0.0,581.99220995,0.0,304.11702049,68142.0,73422.737009,130.08693006,1643.0911822,698.3749903,1362.7664001
HKG,198180.20188,2447.5994415,443037.24846,271658.0,0.0,151981.94266,215138.83982,230530.0,291389.0,349.42657577,521.73153853,0.0,125999.44187,204597.54323,264767.08119,204243.73646,263830.30138,623403.80137,416142.93389,395162.22609
HND,173.69941116,47.964601166,975.08366761,285.48779699,702.08783972,77.244162949,389.56341709,942.06019781,610.61801199,0.0,0.0,163773.0,0.0,292.18070797,297.62510368,90.955481893,1448.5246728,324663.0,813.94949857,1277.2618802
KUL,90506.436316,700.46574464,309678.55394,102930.0,235077.66757,91318.383387,206195.53251,79664.0,107310.0,71.818726438,285.46039308,211898.27397,241.2704419,0.0,2152.7245959,121433.61468,179345.75954,150898.0,225102.0,261276.27961
LAX,101692.0,656414.17306,64930.0,2078.5325885,61028.0,254095.81682,1742.6571191,1119.0454345,2674.1143213,513281.44007,68443.0,263315.70403,210.74348805,1857.3801242,0.0,461395.28625,2142.6530297,111748.0,118990.0,26100.0
LHR,294440.78125,171550.0,258700.32458,216891.94542,2397.7994878,332521.93929,1617.9370017,2089.9651536,220161.50989,102299.59122,66848.436095,194239.35304,64.333254618,111628.47435,456240.03598,0.0,2732.2356601,164051.0,212548.0,216703.27353
MNL,76804.524058,916.96809463,429786.95632,5693.8720626,50302.0,3958.9993179,48642.0,5693.8720626,5693.8720626,269.71425117,205.83242458,288707.69995,1252.324056,194407.0,111066.87971,4115.9531522,0.0,55746.0,113730.0,403743.36896
PEK,206382.0,7208.6381961,290003.0,8113.4581007,1381378.0589,287125.0,38304.0,1889954.0,68555.0,1283.8681819,1492.6243151,605525.8419,324663.0,155958.0,111748.0,164275.0,55746.0,0.0,769977.0,508751.0
PVG,170692.0,2989.0163823,347379.0,6710.3836097,163628.0,213347.31153,26208.0,939400.0,105063.0,559.16645797,630.38264041,406277.26855,504.98657929,225102.0,118990.0,212324.0,113759.0,769753.0,0.0,623306.26751
SIN,149112.12842,3183.2867908,601790.11787,429634.02227,289948.0,193870.87535,440882.98112,65062.0,302395.0,433.61791938,1445.2286049,441006.74512,1154.3034738,275985.1425,26100.0,257993.01282,390203.39905,508751.0,674375.44975,0.0
